Category,Questions,Answers
Methodology,cross validation,cross validation essentially technique ass performs independent dataset simplest example cross validation split group validation testing build validation tune hyperparameters testing evaluate final
Methodology,difference batch learning,batch learning known offline learning group pattern learning familiar dataset build whole dataset once learning hand approach ingests observation learning efficient longer once consumed technically mean don
EDA,give several way deal missing value,way handle null value omit row null value altogether replace null value measure central tendency mean median mode replace eg none predict null value variable example row null weight height replace null average weight given height lastly leave null value machine learning automatically deal null value
EDA,mean imputation missing acceptable practice,mean imputation practice replacing null value mean mean imputation generally bad practice doesn feature correlation example imagine showing age fitness score imagine eighty missing fitness score took average fitness score age range eighty appear higher fitness score actually mean imputation reduces variance increase bias lead le accurate narrower confidence interval due smaller variance
Methodology,confusion matrix,confusion matrix known error matrix summarized ass performance classification correct incorrect prediction summarized count value broken
Methodology,supervised v unsupervised learning,supervised learning involves learning labeled dataset target variable known unsupervised learning draw inference pattern input reference labeled outcome target variable
Methodology,ensemble learning,ensemble learning method multiple learning algorithm conjunction purpose doing allows achieve higher predictive performance individual algorithm itself example random forest
EDA,identify outlier,couple way identify outlier z score standard deviation lie standard deviation calculate standard deviation multiply identify point outside range likewise calculate z score given equal outlier few contingency considered method normally distributed applicable set presence outlier throw z score interquartile range iqr iqr concept build boxplots identify outlier iqr equal difference rd quartile st quartile identify outlier le q irq greater q iqr come approximately standard deviation method dbscan clustering isolation forest robust random cut forest
EDA,inlier,inlier observation lie rest dataset unusual error lie dataset typically harder identify outlier requires external identify
EDA,outlier treated,couple way remove outlier garbage try example linear might treat outlier differently linear normalize narrow range algorithm outlier random forest
Methodology,collaborative filtering filtering similar,filtering property object similar example filtering recommender recommend genre directed director collaborative filtering behavior compared user user similar behavior dictate recommended give simple example bought bought recliner recommended recliner
Methodology,principal component analysis explain sort problem pca,simplest sense pca involves higher dimensional eg dimension smaller space eg dimension lower dimension dimension instead dimension keeping original variable pca commonly compression purpose reduce memory speed algorithm visualization purpose making easier summarize
EDA,difference validation test,generally validation tune hyperparameters testing evaluate final
Methodology,avoid overfitting,don overfitting modeling error function fit closely resulting level error introduced way prevent overfitting cross validation cross validation technique ass performs independent dataset simplest example cross validation split group testing build testing test regularization overfitting occurs model higher degree polynomial thus regularization reduces overfitting penalizing higher degree polynomial reduce reduce overfitting simply reducing input manually removing technique called principal component analysis project higher dimensional eg dimension smaller space eg dimension ensemble learning technique ensemble technique weak learner convert strong learner bagging boosting bagging boosting technique tend overfit le alternative counterpart
EDA,step wrangling cleaning applying machine learning algorithm,step taken wrangling cleaning common step listed below profiling almost everyone start getting understanding dataset specifically shape dataset shape numerical variable describe visualization sometimes useful visualize histogram boxplots scatterplots understand relationship variable identify potential outlier syntax error includes making sure space making sure letter casing consistent checking typo typo unique bar graph standardization normalization depending dataset working machine learning method decide useful standardize normalize scale variable don negatively impact performance handling null value way handle null value deleting row null value altogether replacing null value mean median mode replacing null value eg unknown predicting value machine learning model deal null value thing removing irrelevant removing duplicate conversion
Methodology,deal unbalanced binary classification,way handle unbalanced binary classification assuming identify minority reconsider metric evaluate accuracy might metric ll example explain let bank withdrawal fraudulent withdrawal simply classified instance fraudulent accuracy therefore consider metric precision recall method improve unbalanced binary classification increasing misclassifying minority increasing penalty classify minority accurately lastly improve balance class oversampling minority undersampling majority
Statistics,difference precision recall,recall attempt answer proportion actual positive identified correctly precision attempt answer proportion positive identification actually correct
Methodology,mean square error bad measure performance suggest instead,mean squared error mse give relatively weight error therefore mse tends put emphasis deviation robust alternative mae mean absolute deviation
Statistics,explain false positive false negative important example false positive important false negative false negative important false positive,false positive incorrect identification presence condition absent false negative incorrect identification absence condition actually present example false negative important false positive screening cancer worse someone doesn cancer instead saying someone later realizing don subjective argument false positive worse false negative psychological example false positive winning lottery worse outcome false negative normally don expect win lottery anyway
EDA,feature selection method variable,type method feature selection filter method wrapper method filter method linear discrimination analysis anova chi square wrapper method forward selection test feature keep adding until fit backward selection test removing work
Model,briefly explain basic neural work,core neural essentially mathematical equation take input variable equation output variable neural input layer hidden layer output layer input layer consists feature variable input variable independent variable denoted xn hidden layer consists hidden node hidden unit similarly output variable consists output unit beginning neural nothing equation node neural composed function linear function activation function thing confusing linear function fit activation function light switch
Model,rectified linear unit activation function,rectified linear unit known relu function known activation function sigmoid function tanh function performs gradient descent faster
Model,weight initialized,weight neural initialized randomly expectation stochastic gradient descent initialized weight zero hidden unit exactly signal example weight initialized hidden unit zero signal
Model,happens learning,learning train slowly minimal update weight iteration thus update reaching minimum learning cause undesirable divergent behavior loss function due drastic update weight fail converge
Model,recurrent neural network,recurrent neural network known rnns neural network allow output input having hidden commonly recognize pattern sequence etc
Model,role activation function,purpose activation function introduce linearity output neuron activation function decides whether neuron activated calculating weighted sum further adding bias
Statistics,defined,probability obtaining observed test assuming null hypothesis correct smaller mean stronger evidence favor alternative hypothesis
Statistics,covariance correlation,covariance quantitative measure extent deviation variable mean match deviation mean correlation measurement relationship variable covariance variable normalized variance variable
Statistics,number,number theory trial increase average result become closer expected eg flipping head fair coin closer
Statistics,central limit theorem explain important,central limit theorem sampling distribution sample mean approach normal distribution sample get larger matter shape population distribution central limit theorem important hypothesis testing calculate confidence interval
Statistics,markov,modeling stochastic agent make random decision assumption referred markov
Statistics,statistical,statistical refers binary hypothesis probability test reject null hypothesis given alternative hypothesis true
Statistics,confounding variable,confounding variable confounder variable influence dependent variable independent variable causing spurious association mathematical relationship variable associated causally
Statistics,experimental contrast observational,observational come observational study observe certain variable intervening try determine correlation experimental come experimental study intervention certain variable hold constant determine causality
Statistics,explain selection bias regard dataset variable selection important procedure missing handling worse,selection bias phenomenon selecting individual group analysis proper randomization achieved ultimately resulting sample representative population understanding identifying selection bias important significantly skew false insight particular population type selection bias sampling bias biased sample caused random sampling interval selecting specific frame support desired conclusion conducting analysis near christmas exposure includes clinical susceptibility bias protopathic bias indication bias includes cherry picking suppressing evidence fallacy incomplete evidence attrition attrition bias similar survivorship bias survived included analysis failure bias failed included observer selection anthropic principle philosophical consideration collect universe filtered fact observable compatible conscious sapient observes handling missing selection bias worse method impact way example replace null value mean adding bias sense assuming spread might actually
Statistics,difference interpolation extrapolation matter,interpolation prediction input lie observed value extrapolation prediction input outside observed value important distinction interpolation generally accurate extrapolation
Statistics,give example median measure mean,outlier positively negatively skew
Statistics,survivorship bias,phenomenon survived included excluded analysis thus creating biased sample example sreenivasan chandrasekar enroll gym membership attend few face fit motivated exercising everyday whenever gym few become depressed aren able stick schedule motivation saw gym didn enrolled gym membership stopped turning gym didn
Statistics,root cause analysis identify cause v correlation give example,root cause analysis method problem solving identifying root cause problem identify correlation simple analysis identify causation conducting experiment variable isolated ideally
Statistics,give type statistical bias explain example,sampling bias refers biased sample caused random sampling give example imagine ask prefer grape banana surveyed female concluded majority grape demonstrated sampling bias confirmation bias tendency favour confirms belief survivorship bias phenomenon survived included excluded analysis thus creating biased sample
Statistics,explain tailed distribution example relevant phenomenon tail important classification regression problem,tailed distribution heavy tailed distribution tail tail drop gradually asymptotically practical example pareto principle commonly known rule selling v others important mindful tailed distribution classification regression problem least frequently occurring value majority population ultimately deal outlier conflict machine learning technique assumption normally distributed
Statistics,testing practice,testing statistical hypothesis testing meant randomized experiment variable commonly marketing
Statistics,bias,thing minimize bias common thing randomization participant assigned chance random sampling sampling equal probability chosen
Statistics,give example gaussian distribution nor log normal,categorical won gaussian distribution lognormal distribution exponential distribution eg amount battery last amount until earthquake occurs
Statistics,ass statistical significance insight,perform hypothesis testing determine statistical significance null hypothesis alternative hypothesis calculate probability obtaining observed test assuming null hypothesis true significance alpha le alpha reject null word result statistically significant
Statistics,homicide scotland fell reported noteworthy,poisson distribution question mean lambda variance mean standard deviation square root mean confidence interval implies z score standard deviation sqrt therefore confidence interval confidence interval assume noteworthy
Statistics,difference boxplot histogram,boxplots histogram visualization distribution communicate differently histogram bar chart frequency numerical variable value approximate probability distribution given variable allows quickly understand shape distribution variation potential outlier boxplots communicate aspect distribution shape distribution plot gather quartile range outlier boxplots especially useful multiple chart le space histogram
Statistics,meaning acf pacf,understand acf pacf autocorrelation serial correlation autocorrelation look degree similarity given lagged itself therefore autocorrelation function acf tool pattern specifically correlation point separated various lag example acf mean point perfectly correlated themselves acf mean correlation pacf short partial autocorrelation function quoting stackexchange thought correlation point separated period effect intervening correlation removed example directly correlated directly correlated appear correlated pacf remove intervening correlation
Methodology,experiment feature thinking metric matter,conduct test determine introduction feature statistically significant improvement given metric metric chosen depends goal feature example feature introduced increase conversion rate traffic retention rate formulate null hypothesis feature improve metric alternative hypothesis feature improve metric create test random sampling test inherently considers sample specify necessary sample although larger once collect depending characteristic conduct test welch test chi squared test bayesian test determine whether difference test statistically significant
Methodology,prove male average taller female knowing gender height,hypothesis testing prove male taller average female null hypothesis male female height average alternative hypothesis average height male greater average height female collect random sample height male female test determine reject null
Methodology,say double ad newsfeed figure idea,perform test splitting user group normal ad test double ad choose metric define idea example null hypothesis doubling ad reduce spent facebook alternative hypothesis doubling ad won impact spent facebook choose metric active user churn conduct test determine statistical significance test reject reject null
Methodology,tell given coin biased,isn trick question answer simply perform hypothesis test null hypothesis coin biased probability flipping head equal alternative hypothesis coin biased flip coin calculate z score sample le calculate statistic against alpha tailed test alpha null rejected coin biased alpha null rejected coin biased
Methodology,define metric,isn fit metric metric chosen evaluate machine learning depends various factor regression classification task objective eg precision v recall distribution target variable metric adjusted squared mae mse accuracy recall precision score go
Methodology,dimension reduction important,dimensionality reduction reducing dataset important mainly reduce variance overfitting wikipedia four advantage dimensionality reduction reduces storage space removal multi collinearity improves interpretation parameter machine learning becomes easier visualize reduced dimension avoids curse dimensionality
Model,naive bayes bad improve spam detection algorithm us naive bayes,major drawback naive bayes hold strong assumption assumed uncorrelated typically never improve algorithm us naive bayes decorrelating assumption hold true
Model,regression fit,couple metric squared adjusted squared relative measure fit explained answer score evaluates null hypothesis regression coefficient equal zero v alternative hypothesis least doesn equal zero rmse absolute measure fit
Model,decision tree,decision tree popular operation strategic planning machine learning square above called node node accurate decision tree generally node decision tree decision called leaf tree decision tree intuitive easy build fall short come accuracy
Model,kernel explain kernel trick,kernel computing dot vector possibly dimensional feature space kernel function sometimes called generalized dot kernel trick method linear classifier solve linear problem transforming linearly inseparable linearly separable one higher dimension
Model,beneficial perform dimensionality reduction fitting svm,greater observation performing dimensionality reduction generally improve svm
Methodology,overfitting,overfitting error fit resulting variance bias consequence overfit inaccurately predict point though accuracy
Methodology,boosting,boosting ensemble method improve reducing bias variance ultimately converting weak learner strong learner idea train weak learner sequentially iterate improve learning learner
Statistics,difference convex convex function mean function convex,convex function drawn point graph lie above graph minimum convex function drawn point graph intersect point graph characterized wavy function convex mean likelihood function minimum instead global minimum typically undesired machine learning model optimization perspective
EDA,outlier explain might screen outlier dataset explain inlier might screen dataset,outlier differs significantly observation depending cause outlier bad machine learning perspective worsen accuracy outlier caused measurement error important remove dataset couple way identify outlier z score standard deviation lie standard deviation calculate standard deviation multiply identify point outside range likewise calculate z score given equal outlier few contingency considered method normally distributed applicable set presence outlier throw z score interquartile range iqr iqr concept build boxplots identify outlier iqr equal difference rd quartile st quartile identify outlier le q irq greater q iqr come approximately standard deviation method dbscan clustering isolation forest robust random cut forest inlier observation lie rest dataset unusual error lie dataset typically harder identify outlier requires external identify identify inliers simply remove dataset
EDA,handle missing imputation technique recommend,several way handle missing delete row missing mean median mode imputation assigning unique predicting missing value algorithm support missing value random forest method delete row missing ensures bias variance added removed ultimately robust accurate recommended lot percentage missing value
Methodology,compiling uploaded month notice spike uploads particular spike picture uploads might cause test,potential reason spike uploads feature implemented involves uploading gained lot traction user example feature give ability create album similarly possible uploading intuitive improved month viral social movement involved uploading lasted eg movember something scalable possible spike due posting themselves costume halloween method testing depends cause spike conduct hypothesis testing determine inferred cause actual cause
Statistics,calculate needed sample,margin error formula determine desired sample
Methodology,running pollster polled hundred sixty claimed vote relax,assume opponent assume confidence interval give z score hat z give confidence interval therefore given confidence interval okay worst scenario tying relax otherwise relax until got claim
Methodology,given train having column million row classification problem manager asked reduce dimension computation reduced machine memory constraint practical assumption,lower ram close application machine browser memory put randomly sample mean create smaller let having variable row computation reduce dimensionality separate numerical categorical variable remove correlated variable numerical variable ll correlation categorical variable ll chi square test pca pick component explain maximum variance learning algorithm vowpal wabbit python possible option building linear stochastic gradient descent helpful apply understanding estimate predictor impact response variable intuitive approach failing identify useful predictor might result significant loss
Methodology,rotation necessary pca happen don rotate component,rotation orthogonal necessary maximizes difference variance captured component make component easier interpret forget motive doing pca aim fewer component explain maximum variance doing rotation relative component doesn change actual coordinate point don rotate component effect pca diminish ll component explain variance
Statistics,given missing value spread along standard deviation median percentage remain unaffected,question enough hint thinking spread across median let assume normal distribution normal distribution lie standard deviation mean mode median leaf unaffected therefore remain unaffected missing value
Statistics,given cancer detection ve build classification achieved accuracy shouldn happy performance,worked enough set deduce cancer detection imbalanced imbalanced accuracy measure performance given might predicting majority correctly interest minority actually got diagnosed cancer hence evaluate performance sensitivity true positive specificity true negative measure determine wise performance classifier minority performance poor undertake step undersampling oversampling smote balanced alter prediction threshold doing probability caliberation finding optimal threshold auc roc curve assign weight class minority class get larger weight anomaly detection
Model,naive bayes naive,naive bayes naive assumes equally important independent assumption rarely true scenario
Model,explain prior probability likelihood marginal likelihood context naive bayes algorithm,prior probability nothing proportion dependent binary variable closest guess further example dependent variable binary proportion spam spam hence estimate chance classified spam likelihood probability classifying given observation presence variable example probability word spam likelihood marginal likelihood probability word
Model,working manager asked build accuracy decision tree algorithm work fairly kind later tried regression got higher accuracy decision tree happen,known posse linearity hand decision tree algorithm known detect linear interaction reason decision tree failed robust prediction couldn linear relationship regression therefore learned linear regression robust prediction given satisfies linearity assumption
Methodology,assigned involves helping delivery problem delivery aren able deliver result customer unhappy keep happy delivering machine learning algorithm,might started hopping ml algorithm mind wait asked test machine learning fundamental machine learning problem route optimization problem machine learning problem consist thing exist pattern solve mathematically writing exponential equation always factor decide machine learning tool solve particular problem
Methodology,came suffering bias variance algorithm tackle,bias occurs predicted value near actual value word becomes flexible enough mimic distribution sound achievement forget flexible generalization capability mean tested unseen give disappointing situation bagging algorithm random forest tackle variance problem bagging algorithm divide subset repeated randomized sampling sample generate model single learning algorithm later prediction combined voting classification averaging regression combat variance regularization technique higher coefficient penalized hence lowering complexity variable importance chart variable algorithm having difficulty finding meaningful signal
EDA,given contains variable highly correlated manager asked run pca remove correlated variable,chance might tempted incorrect discarding correlated variable substantial effect pca presence correlated variable variance explained particular component get inflated example variable correlated run pca principal component exhibit twice variance exhibit uncorrelated variable adding correlated variable let pca put importance variable misleading
Methodology,spending several anxious build accuracy result build gbm model thinking boosting algorithm magic unfortunately neither model perform benchmark score finally decided combine model though ensembled model known accuracy unfortunate miss,ensemble learner idea combining weak learner create strong learner learner superior result combined model uncorrelated gbm model got accuracy improvement suggests model correlated problem correlated model model example classified chance done actual therefore ensemble learner built premise combining weak uncorrelated model obtain prediction
Model,knn kmeans clustering,don mislead name fundamental difference algorithm kmeans unsupervised nature knn supervised nature kmeans clustering algorithm knn classification regression algorithm kmeans algorithm partition cluster cluster formed homogeneous point cluster close algorithm try maintain enough separability cluster due unsupervised nature cluster label knn algorithm try classify unlabeled observation surrounding neighbor known lazy learner involves minimal hence doesn generalization unseen
Statistics,true positive recall write equation,true positive recall equal having formula tp tp fn
Model,built multiple regression isn wanted improvement remove intercept term becomes possible,possible understand significance intercept term regression intercept term show prediction independent variable mean prediction formula ymean predicted intercept term present evaluates wrt mean absence intercept term ymean evaluation denominator equation becomes smaller actual resulting higher
Model,analyzing manager informed regression suffering multicollinearity true losing build,multicollinearity create correlation matrix identify remove variable having correlation above deciding threshold subjective addition calculate vif variance inflation factor presence multicollinearity vif implies serious multicollinearity tolerance indicator multicollinearity removing correlated variable might lead loss retain variable penalized regression model ridge lasso regression random noise correlated variable variable become adding noise might affect prediction accuracy hence approach carefully
Model,ridge regression favorable lasso regression,conceptually lasso regression variable selection parameter shrinkage whereas ridge regression parameter shrinkage coefficient presence correlated variable ridge regression might preferred choice ridge regression work situation least square estimate higher variance therefore depends objective
Statistics,rise global average temperature led decrease pirate mean decrease pirate caused climate,reading question understood classic causation correlation conclude decrease pirate caused climate might factor lurking confounding variable influencing phenomenon therefore might correlation global average temperature pirate pirated died rise global average temperature
EDA,working important variable explain method,method variable selection remove correlated variable prior selecting important variable linear regression variable value forward selection backward selection stepwise selection random forest xgboost plot variable importance chart lasso regression measure gain accordingly
Statistics,difference covariance correlation,correlation standardized covariance covariance difficult example calculate covariance salary age ll covariance compared having unequal scale combat situation calculate correlation irrespective respective scale
Statistics,possible capture correlation continuous categorical variable,ancova analysis covariance technique capture association continuous categorical variable
Model,tree algorithm random forest gradient boosting algorithm gbm,fundamental difference random forest us bagging technique prediction gbm us boosting technique prediction bagging technique divided sample randomized sampling single learning algorithm build sample later resultant prediction combined voting averaging bagging done parallel boosting round prediction algorithm weighs misclassified prediction higher corrected succeeding round sequential giving higher weight misclassified prediction continue until stopping criterion reached random forest improves accuracy reducing variance mainly tree grown uncorrelated maximize decrease variance hand gbm improves accuracy reducing bias variance
Model,running binary classification tree algorithm easy tree splitting take tree decide variable split root node succeeding node,classification tree make decision gini node entropy simple word tree algorithm possible feature divide purest possible node
Model,ve built random forest tree got delighted getting error validation error haven trained perfectly,overfitted error mean classifier mimiced pattern extent unseen hence classifier run unseen sample couldn pattern returned prediction higher error random forest happens larger tree necessary hence avoid situation tune tree cross validation
Methodology,ve got having variable observation ols bad option technique,dimensional set classical regression technique assumption tend fail longer calculate unique least square coefficient estimate variance become infinite ols combat situation penalized regression method lasso lars ridge shrink coefficient reduce variance precisely ridge regression work situation least square estimate higher variance among method subset regression forward stepwise regression
Model,convex hull hint svm,linearly separable convex hull represents outer boundary point once convex hull created maximum margin hyperplane mmh perpendicular bisector convex hull mmh attempt create greatest separation group
EDA,encoding increasing dimensionality label encoding doesn,don baffled question simple question asking difference encoding dimensionality increased creates variable present categorical variable example let variable color variable level namely red blue green encoding color variable generate variable color red color blue color green containing label encoding level categorical variable get encoded variable created label encoding majorly binary variable
Model,cross validation technique fold loocv,neither problem fold troublesome might pattern resampling separate trend might validation past incorrect instead forward chaining strategy fold shown below fold test fold test fold test fold test fold test represents
EDA,given consisting variable having missing value let variable variable missing value higher deal,deal way assign unique missing value know missing value might decipher trend remove blatantly sensibly distribution target variable pattern ll keep missing value assign removing others
Methodology,bought bought recommendation seen amazon result algorithm,basic idea kind recommendation engine come collaborative filtering collaborative filtering algorithm considers behavior recommending exploit behavior user transaction rating selection purchase user behaviour preference recommend user known
Statistics,understand v ii error,error committed null hypothesis true reject known false positive ii error committed null hypothesis false accept known false negative context confusion matrix error occurs classify positive actually negative ii error occurs classify negative actually positive
Methodology,working classification problem validation purpose ve randomly sampled train validation confident incredibly unseen validation accuracy shocked getting poor test accuracy went wrong,classification problem always stratified sampling instead random sampling random sampling doesn take consideration proportion target class contrary stratified sampling help maintain distribution target variable resultant distributed sample
Model,asked evaluate regression adjusted tolerance criterion,tolerance vif indicator multicollinearity indicator percent variance predictor accounted predictor value tolerance desirable consider adjusted opposed evaluate fit increase irrespective improvement prediction accuracy variable adjusted increase additional variable improves accuracy otherwise stay difficult commit threshold adjusted varies set example gene mutation might result lower adjusted fairly prediction compared lower adjusted implies
Model,mean knn euclidean distance calculate distance nearest neighbor manhattan distance,don manhattan distance calculates distance horizontally vertically dimension restriction hand euclidean metric space calculate distance point present dimension euclidean distance viable option
Methodology,explain machine learning,simple baby walk fall unconsciously realize leg straight bend position fall feel pain cry stand again avoid pain try harder succeed seek door wall anything near help stand firm machine work develops intuition environment
Model,linear regression generally evaluated adjusted evaluate logistic regression,logistic regression predict probability auc roc curve along confusion matrix determine performance analogous metric adjusted logistic regression aic aic measure fit penalizes coefficient therefore always prefer minimum aic null deviance indicates response predicted nothing intercept lower residual deviance indicates response predicted adding independent variable lower
Methodology,considering machine learning algorithm given decide,choice machine learning algorithm solely depends given exhibit linearity linear regression algorithm given image audio neural build robust comprises linear interaction boosting bagging algorithm choice requirement build deployed ll regression decision tree easy interpret explain instead algorithm svm gbm etc short master algorithm situation scrupulous enough understand algorithm
EDA,suggest treating categorical variable continuous variable result predictive,prediction categorical variable considered continuous variable variable ordinal nature
Methodology,regularization becomes necessary machine learning,regularization becomes necessary begin ovefit underfit technique introduces term bringing objective function hence try push coefficient variable zero hence reduce term help reduce complexity become predicting generalizing
Model,ols linear regression maximum likelihood logistic regression explain statement,ols maximum likelihood method respective regression method approximate unknown parameter coefficient simple word ordinary least square ols method linear regression approximates parameter resulting minimum distance actual predicted value maximum likelihood help choosing value parameter maximizes likelihood parameter likely produce observed
Model,logistic regression done,logistic regression measure relationship dependent variable label predict independent variable estimating probability underlying logistic function sigmoid
Model,explain step making decision tree,entire input calculate entropy target variable predictor attribute calculate gain attribute gain sorting object choose attribute highest gain root node repeat procedure branch until decision node branch finalized
Model,build random forest,random forest built decision tree split package decision tree group random forest brings tree together step build random forest randomly among calculate node split split node daughter node split repeat step until leaf node finalized build forest repeating step four create tree
Methodology,avoid overfitting,overfitting refers amount ignores bigger picture method avoid overfitting keep simple fewer variable thereby removing noise cross validation technique fold cross validation regularization technique lasso penalize certain parameter likely cause overfitting
EDA,feature selection method variable,method feature selection filter wrapper method filter method involves linear discrimination analysis anova chi square analogy selecting bad bad answer limiting selecting cleaning coming wrapper method involves forward selection test feature keep adding until fit backward selection test removing work recursive feature elimination recursively look pair together wrapper method labor intensive computer needed lot analysis performed wrapper method
Methodology,dimensionality reduction benefit,dimensionality reduction refers converting vast dimension fewer dimension field convey similar concisely reduction help compressing reducing storage space reduces computation fewer dimension lead le computing remove redundant example storing unit meter inch
Methodology,maintain deployed,step maintain deployed monitor constant monitoring model needed determine performance accuracy something figure change affect thing need monitored ensure doing supposed evaluate evaluation metric calculated determine algorithm needed model compared determine performs rebuild performing built
Methodology,recommender,recommender predicts specific preference split area collaborative filtering example fm recommends track user similar interest play often commonly seen amazon making purchase customer notice accompanied recommendation user bought bought filtering example pandora us property song recommend similar property instead looking else listening
Model,mean,elbow method mean clustering idea elbow method run mean clustering cluster sum square w defined sum squared distance cluster centroid
Statistics,significance,typically indicates strong evidence against null hypothesis reject null hypothesis typically indicates weak evidence against null hypothesis accept null hypothesis cutoff considered marginal meaning either
Model,declared stationery,stationary variance mean constant
Statistics,write equation calculate precision recall,precision true positive true positive false positive recall true positive positive false negative
Methodology,bought bought recommendation seen amazon result algorithm,recommendation engine accomplished collaborative filtering collaborative filtering explains behavior user purchase rating selection etc engine make prediction might interest person preference user algorithm unknown
Methodology,predict probability death heart disease risk factor age gender blood cholesterol appropriate algorithm,choose correct option logistic regression linear regression mean clustering apriori algorithm appropriate algorithm logistic regression
Methodology,organization visitor randomly receive coupon possible visitor receive coupon asked determine offering coupon visitor impact purchase decision analysis method,anova mean clustering association rule student test answer anova
Statistics,feature vector,feature vector dimensional vector numerical represent object machine learning feature vector represent numeric symbolic characteristic called object mathematical easy analyze
Model,step making decision tree,entire input split maximizes separation class split test divide set apply split input divide step apply step divided stop meet stopping criterion step called pruning clean tree went far doing split
Statistics,root cause analysis,root cause analysis initially developed analyze industrial accident widely area problem solving technique isolating root cause fault problem factor called root cause deduction problem fault sequence averts final undesirable event recurring
Model,logistic regression,logistic regression known logit technique forecast binary outcome linear combination predictor variable
Methodology,explain cross validation,cross validation validation technique evaluating outcome statistical analysis generalize independent mainly background objective forecast want estimate accurately accomplish practice goal cross validation term test phase validation limit problem overfitting gain insight generalize independent
Methodology,collaborative filtering,recommender filtering pattern collaborating perspective numerous source several agent
Methodology,gradient descent method always converge similar point,case reach minimum optimum reach global optimum governed starting
Methodology,goal testing,statistical hypothesis testing randomized experiment variable objective testing detect change maximize increase outcome strategy
Model,drawback linear,assumption linearity error count outcome binary outcome overfitting problem solve
Statistics,eigenvalue eigenvector,eigenvalue direction along particular linear transformation act flipping compressing stretching eigenvectors understanding linear transformation analysis usually calculate eigenvectors correlation covariance matrix
Statistics,difference estimate confidence interval,estimation give particular estimate population parameter method moment maximum likelihood estimator method derive estimator population parameter confidence interval give range value likely contain population parameter confidence interval generally preferred tell likely interval contain population parameter likeliness probability called confidence confidence coefficient represented alpha alpha significance
Statistics,understand statistical sensitivity calculate,sensitivity commonly validate accuracy classifier logistic svm random forest etc sensitivity nothing predicted true true true predicted true
Statistics,explain roc curve work,roc curve graphical representation contrast true positive rate false positive rate various threshold often proxy trade sensitivity true positive false positive
